character,voice_direction,context,line_text,filename
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",pizza_warning cutscene,"You've been sampling my delivery fleet, Turbo.",donna_01.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",pizza_warning cutscene,"That's a violation of the family recipe. Next slice you steal, I take something back. Something you'll miss more than a pizza.",donna_02.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_taunt,"You have odd taste in delivery vehicles, Turbo.",donna_03.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_taunt,I will not ask a third time. Return my scooter.,donna_04.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_taunt,Every crust has its limit.,donna_05.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_taunt,This isn't a rivalry. It's quality control.,donna_06.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_taunt,I hope you like the taste of consequences.,donna_07.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_taunt,A man who steals pizza cars has never truly tasted pizza.,donna_08.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_taunt,I built this fleet from a single scooter and a grudge. Don't test me.,donna_09.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_taunt,You are not a customer. You are a supply-chain issue.,donna_10.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_taunt,Even my dough has more backbone than your excuses.,donna_11.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_taunt,I've buried men for less than a stolen breadstick.,donna_12.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_repeat_offense,I warned you once. Warnings are a courtesy. I'm out of courtesy.,donna_13.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_repeat_offense,"You're not on my menu anymore, Turbo. You're the special.",donna_14.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_repeat_offense,Somebody bring me a box. A big one.,donna_15.mp3
Donna Marinara,"calm, composed, never raises volume — menace delivered flat, in food metaphor",donna_marinara_repeat_offense,Last time was a conversation. This time is a delivery — of a different kind.,donna_16.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",character intro line,"The city was a jukebox of sin, and Turbo Jones was its greatest hit.",hardcastle_01.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",detective_hardcastle,Another night in San Chaos. Another Jones.,hardcastle_02.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",detective_hardcastle,I've seen a hundred guys like him. I've caught none of them.,hardcastle_03.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",detective_hardcastle,"Dispatch, this is Hardcastle. Tell my captain I said... nothing. Tell him nothing.",hardcastle_04.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",detective_hardcastle,"Somewhere, a donut is getting cold. It'll have to wait.",hardcastle_05.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",detective_hardcastle,The city doesn't forgive. Neither do I. Probably.,hardcastle_06.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",detective_hardcastle,I used to believe in the system. Now I believe in overtime pay.,hardcastle_07.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",detective_hardcastle,They call him Turbo. I call him Tuesday's problem.,hardcastle_08.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",detective_hardcastle,My captain says let it go. My captain's never lost a jukebox to a guy in a stolen sedan.,hardcastle_09.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",detective_hardcastle,Every siren in this city sings the same sad song. I just hum along.,hardcastle_10.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",hardcastle_high_heat,"This is it. This is the one. It's always the one, until it isn't.",hardcastle_11.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",hardcastle_high_heat,"Dispatch, requesting backup. And maybe a therapist.",hardcastle_12.mp3
Detective Frank Hardcastle,"gravelly hardboiled-noir monologue, played completely straight",hardcastle_high_heat,"If I don't get him tonight, I retire. I say that every night.",hardcastle_13.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_rematch_intro cutscene,Jones. Heard you were out. Heard you were causing trouble. Figures.,coach_01.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_rematch_intro cutscene,"You body-slammed my quarterback over a Gatorade, Jones. You're not a victim. You're a liability with a grudge.",coach_02.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_rematch_intro cutscene,"Rules haven't changed. You want back on my field, you go through me. Fists only. Let's go.",coach_03.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_defeat cutscene,"...huh. Still got it, Jones. Still stupid. But you got it.",coach_04.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_defeat cutscene,Fine. You're off The List. Field's open. Don't make me regret this.,coach_05.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_defeat cutscene,Absolutely not.,coach_06.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_taunt,"PICK UP YOUR FEET, JONES!",coach_07.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_taunt,That's the same sloppy footwork that cost you the season!,coach_08.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_taunt,I've benched better hits than that!,coach_09.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_taunt,You call that a punch? I've been hit harder by a cold front!,coach_10.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_taunt,TWENTY YEARS and you STILL lead with your chin!,coach_11.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_defeat pack,"...alright. Alright! Down. You're down— I mean, I'm down.",coach_12.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_defeat pack,Get up. No — stay down a second. Then get up.,coach_13.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_defeat pack,"Fine! FINE! You've got heart, Jones! Misplaced, but heart!",coach_14.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_sideline_turbobowl,"Head up, JONES! Eyes downfield!",coach_15.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_sideline_turbobowl,That's it! That's what I've been trying to teach you for TWENTY YEARS!,coach_16.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_sideline_turbobowl,Don't you dare fumble in front of me again!,coach_17.mp3
Coach Gary Grimsby,"drill-sergeant bark, even when kind — coaches people mid-fight",coach_sideline_turbobowl,ATTA BOY— don't let it go to your head.,coach_18.mp3
Reverend Cornelius Jones,"booms like mid-sermon at all times, completely earnest, not a joke to him",turbo_bowl_payoff cutscene,TURBO JONES! You get AWAY from those young women this instant! We have discussed this!,dad_01.mp3
Reverend Cornelius Jones,"booms like mid-sermon at all times, completely earnest, not a joke to him",turbo_bowl_payoff cutscene,I don't care if you're ninety-four — put some space between you and the pom-poms!,dad_02.mp3
Reverend Cornelius Jones,"booms like mid-sermon at all times, completely earnest, not a joke to him",dad_interrupt,TURBO JONES! What did we say about eye contact with the opposite sex?!,dad_03.mp3
Reverend Cornelius Jones,"booms like mid-sermon at all times, completely earnest, not a joke to him",dad_interrupt,"Is that a CHEERLEADER? Turbo, we TALKED about this!",dad_04.mp3
Reverend Cornelius Jones,"booms like mid-sermon at all times, completely earnest, not a joke to him",dad_interrupt,"The Lord is watching, and so, apparently, am I — CONSTANTLY!",dad_05.mp3
Reverend Cornelius Jones,"booms like mid-sermon at all times, completely earnest, not a joke to him",dad_interrupt,"Not. Allowed. Two words, son. I've said them your whole life!",dad_06.mp3
Danny Kowalski,"tired and dry, doesn't rise to anyone's energy — most deadpan voice in the cast",danny_apology cutscene,Coach let you back on the field. Bold move.,danny_01.mp3
Danny Kowalski,"tired and dry, doesn't rise to anyone's energy — most deadpan voice in the cast",danny_apology cutscene,"Nineteen years. But sure, 'a while.'",danny_02.mp3
